k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.5488973331295444,0.5488973331295444,0.5234393541459781,0.5234393541459781,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6663282765311057,0.6663282765311057,0.6332319790209211,0.6332319790209211,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6785355136776612,0.6785355136776612,0.6495544086707221,0.6495544086707221,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.7014787414144095,0.7014787414144095,0.6732986188635429,0.6732986188635429,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7377840149829771,0.7377840149829771,0.7156377783912728,0.7156377783912728,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7758140991795718,0.7758140991795718,0.7551520371662458,0.7551520371662458,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7974455257809492,0.7974455257809492,0.7693668773412713,0.7693668773412713,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8028244300394098,0.8028244300394098,0.7698347323734478,0.7698347323734478,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8028244300394098,0.8006704094586652,0.7698347323734478,0.7662144447090655,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
