k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.24202127659574468,0.24202127659574468,0.23884729883547848,0.23884729883547848,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.5486465333261665,0.5486465333261665,0.5338970992854588,0.5338970992854588,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.5998568172090479,0.5998568172090479,0.5906617054506624,0.5906617054506624,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6842190849098847,0.6842190849098847,0.6740491042887005,0.6740491042887005,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.7802037936212847,0.7802037936212847,0.7520095663424757,0.7520095663424757,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.807744568598077,0.807744568598077,0.7881315118313655,0.7881315118313655,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.8246806467146103,0.8246806467146103,0.8069659245386048,0.8069659245386048,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.8301276490204883,0.8301276490204883,0.8133739241132774,0.8133739241132774,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8510489365604185,0.8510489365604185,0.8398598770197182,0.8398598770197182,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8565194288446404,0.8565194288446404,0.8496975161706489,0.8496975161706489,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8618367151025577,0.8618367151025577,0.855027720332964,0.855027720332964,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8663756954681078,0.8663756954681078,0.8547676194524325,0.8547676194524325,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8664313545754909,0.8664313545754909,0.8544760560134994,0.8544760560134994,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8722153787703404,0.8722153787703404,0.861496760441763,0.861496760441763,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8732399689342749,0.8732399689342749,0.8627493913701867,0.8627493913701867,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8742829069819067,0.8742829069819067,0.8702088679115271,0.8702088679115271,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8784360149851486,0.8784360149851486,0.8766827005528208,0.8766827005528208,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.8875651612716442,0.8875651612716442,0.873472203516395,0.873472203516395,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.8875651612716442,0.8861215935335598,0.873472203516395,0.8751314359055019,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.8888703216285287,0.8888703216285287,0.8742083893288201,0.8742083893288201,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
21,0.8888703216285287,0.8885407813531926,0.8742083893288201,0.8746540893179505,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
22,0.8952827206658234,0.8952827206658234,0.8768012078005528,0.8768012078005528,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
23,0.8965209875771262,0.8965209875771262,0.883360875119713,0.883360875119713,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
24,0.8965209875771262,0.895065362930433,0.883360875119713,0.8836639145268813,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
25,0.8976351820589513,0.8976351820589513,0.8932701414885038,0.8932701414885038,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
26,0.8988170090472299,0.8988170090472299,0.895788353496274,0.895788353496274,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
27,0.8990915457665162,0.8990915457665162,0.8963679606366981,0.8963679606366981,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
28,0.9003966643686315,0.9003966643686315,0.8962107646674409,0.8962107646674409,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
29,0.9003966643686315,0.8998031086874555,0.8962107646674409,0.8951288742296702,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
30,0.9020651849470518,0.9020651849470518,0.8970411779091113,0.8970411779091113,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
31,0.9049992282091487,0.9049992282091487,0.8983775580551916,0.8983775580551916,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
32,0.9049992282091487,0.9039625811366055,0.8983775580551916,0.8991605997607892,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
