k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.49205976621366393,0.49205976621366393,0.48912102103733524,0.48912102103733524,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.5132946940836963,0.5132946940836963,0.5133062186100986,0.5133062186100986,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6008164026613027,0.6008164026613027,0.5913175220923498,0.5913175220923498,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.622798048109261,0.622798048109261,0.5991543501833873,0.5991543501833873,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6286650770724046,0.6286650770724046,0.6191750171535213,0.6191750171535213,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7542892432339374,0.7542892432339374,0.7191412365920263,0.7191412365920263,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7573484720697008,0.7573484720697008,0.7280881853022717,0.7280881853022717,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8218686416067513,0.8218686416067513,0.7953898823210006,0.7953898823210006,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.823106085947644,0.823106085947644,0.7949879530605505,0.7949879530605505,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8255655912088735,0.8255655912088735,0.7977528938728076,0.7977528938728076,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8306668677886484,0.8306668677886484,0.8130718281283967,0.8130718281283967,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8465771204022509,0.8465771204022509,0.8274784163744484,0.8274784163744484,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8465771204022509,0.8455844431588101,0.8274784163744484,0.8337895787342867,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8570765360770412,0.8570765360770412,0.8452903850744143,0.8452903850744143,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8626867151362597,0.8626867151362597,0.8530912886703012,0.8530912886703012,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8638345551592616,0.8638345551592616,0.8488676577809525,0.8488676577809525,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.864580146800247,0.864580146800247,0.8512445049221611,0.8512445049221611,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.8879797167027,0.8879797167027,0.8827105227814953,0.8827105227814953,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.8994510158130474,0.8994510158130474,0.8895554666743082,0.8895554666743082,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
