k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.41981899128021233,0.41981899128021233,0.4086571071907391,0.4086571071907391,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.5742135635821838,0.5742135635821838,0.5539409615253372,0.5539409615253372,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6231309075680392,0.6231309075680392,0.612058068203372,0.612058068203372,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.6670322318481211,0.6670322318481211,0.6449818656240659,0.6449818656240659,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6768853599145622,0.6768853599145622,0.6428249543505561,0.6428249543505561,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7346814492116714,0.7346814492116714,0.7197106365281261,0.7197106365281261,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.755964851433487,0.755964851433487,0.7364830369714763,0.7364830369714763,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7653268941255984,0.7653268941255984,0.7488540540525065,0.7488540540525065,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.785803902680162,0.785803902680162,0.7749173456606356,0.7749173456606356,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8534477959458754,0.8534477959458754,0.8359216448580244,0.8359216448580244,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
