k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.5617536214286387,0.5617536214286387,0.5458431129235213,0.5458431129235213,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6615146080688721,0.6615146080688721,0.6479770226479127,0.6479770226479127,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.7122157358350862,0.7122157358350862,0.6915384228820305,0.6915384228820305,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.7126387049673037,0.7126387049673037,0.6924782532165725,0.6924782532165725,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7145127351463519,0.7145127351463519,0.705924904527932,0.705924904527932,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.715644920369125,0.715644920369125,0.698246124638162,0.698246124638162,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7601001890912819,0.7601001890912819,0.7493887562633348,0.7493887562633348,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7781684527836111,0.7781684527836111,0.7723365737011085,0.7723365737011085,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7818804878465642,0.7818804878465642,0.7723942849493642,0.7723942849493642,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8073836479670244,0.8073836479670244,0.7819287432847285,0.7819287432847285,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8223102147354008,0.8223102147354008,0.7881697622491447,0.7881697622491447,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8353161266310763,0.8353161266310763,0.8046964915161213,0.8046964915161213,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8367852128373022,0.8367852128373022,0.8131757293148386,0.8131757293148386,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8418674468836402,0.8418674468836402,0.8114540032042314,0.8114540032042314,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
