k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.24202127659574468,0.24202127659574468,0.23884729883547848,0.23884729883547848,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.5486465333261665,0.5486465333261665,0.5338970992854588,0.5338970992854588,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6660067067592923,0.6660067067592923,0.6479449800307852,0.6479449800307852,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6980539480481887,0.6980539480481887,0.625836215256084,0.625836215256084,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.6980539480481887,0.6888724006811119,0.625836215256084,0.6659311565534086,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6980539480481887,0.6965459285236945,0.625836215256084,0.6742131503274462,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7766159418657609,0.7766159418657609,0.7542092101200634,0.7542092101200634,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7876427684625995,0.7876427684625995,0.7577891520625113,0.7577891520625113,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7989138254445768,0.7989138254445768,0.7722964342803006,0.7722964342803006,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8153384732053907,0.8153384732053907,0.7890119421658381,0.7890119421658381,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8360943640506471,0.8360943640506471,0.8093647938558879,0.8093647938558879,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8486528742074422,0.8486528742074422,0.8356389003442874,0.8356389003442874,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8589836186916838,0.8589836186916838,0.8542632064119436,0.8542632064119436,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8685350737624659,0.8685350737624659,0.860072465526167,0.860072465526167,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8791007339831436,0.8791007339831436,0.8651163504420406,0.8651163504420406,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8791007339831436,0.8789610128465042,0.8651163504420406,0.8680756715095824,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8791007339831436,0.8777326083102348,0.8651163504420406,0.8750511898761653,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.8843923613521247,0.8843923613521247,0.8778317138380192,0.8778317138380192,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.8848233958348835,0.8848233958348835,0.8771756835283546,0.8771756835283546,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.8914075375032603,0.8914075375032603,0.8828902350035354,0.8828902350035354,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
21,0.8983855347597934,0.8983855347597934,0.8909918727594346,0.8909918727594346,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
22,0.898816527487783,0.898816527487783,0.8931062202491571,0.8931062202491571,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
23,0.9015529424691878,0.9015529424691878,0.894458367614613,0.894458367614613,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
24,0.9017790053878029,0.9017790053878029,0.8945602155343699,0.8945602155343699,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
25,0.9072104481759878,0.9072104481759878,0.8950736943841886,0.8950736943841886,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
26,0.9072104481759878,0.9071547890686046,0.8950736943841886,0.8960632305637216,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
27,0.9072104481759878,0.9070791743080119,0.8950736943841886,0.8958383826974426,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
28,0.9072104481759878,0.906736963327503,0.8950736943841886,0.896828281014199,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
29,0.9076110892016288,0.9076110892016288,0.8976321395350992,0.8976321395350992,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
