k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.49205976621366393,0.49205976621366393,0.48912102103733524,0.48912102103733524,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6360986421700049,0.6360986421700049,0.5959135444724802,0.5959135444724802,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.671026099869359,0.671026099869359,0.6363175598119833,0.6363175598119833,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.6852276382936222,0.6852276382936222,0.650719259852371,0.650719259852371,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6860127278927857,0.6860127278927857,0.6633605255419268,0.6633605255419268,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.6868179859178714,0.6868179859178714,0.6629283318582461,0.6629283318582461,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.6980674077267092,0.6980674077267092,0.6705402893015147,0.6705402893015147,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.6980674077267092,0.6973799437876701,0.6705402893015147,0.6776859526110963,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.6980674077267092,0.6969489093049116,0.6705402893015147,0.6779018420756904,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.6999489659687612,0.6999489659687612,0.6808327339195475,0.6808327339195475,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.7678130988224595,0.7678130988224595,0.7384803951515956,0.7384803951515956,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8347578016223451,0.8347578016223451,0.8089408638681344,0.8089408638681344,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8400838949161856,0.8400838949161856,0.815051160838378,0.815051160838378,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8529227236962242,0.8529227236962242,0.8338576534408846,0.8338576534408846,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8583866335731731,0.8583866335731731,0.8351492776742697,0.8351492776742697,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8736181369357804,0.8736181369357804,0.8437670654205679,0.8437670654205679,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.8835943051933146,0.8835943051933146,0.8495503708722294,0.8495503708722294,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.89189916230251,0.89189916230251,0.86029489619087,0.86029489619087,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
