k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.30676419565213797,0.30676419565213797,0.3003877500513095,0.3003877500513095,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
2,0.48600925658024957,0.48600925658024957,0.4930636607669302,0.4930636607669302,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
3,0.689030057432033,0.689030057432033,0.6591660426164858,0.6591660426164858,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
4,0.8051966020489023,0.8051966020489023,0.7652429547981661,0.7652429547981661,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
5,0.8097474891700772,0.8097474891700772,0.7706177185306712,0.7706177185306712,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
6,0.834707035753833,0.834707035753833,0.8054420838418738,0.8054420838418738,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
7,0.8839352099343107,0.8839352099343107,0.8678399232497673,0.8678399232497673,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
8,0.8944928192055455,0.8944928192055455,0.8849374740301795,0.8849374740301795,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
9,0.9004457811740191,0.9004457811740191,0.8963902288592126,0.8963902288592126,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
10,0.9136402546656237,0.9136402546656237,0.9050496296736492,0.9050496296736492,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
11,0.9294381850527924,0.9294381850527924,0.9175013248835757,0.9175013248835757,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
12,0.9410572044346518,0.9410572044346518,0.9212407855526764,0.9212407855526764,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
13,0.9415126567874196,0.9415126567874196,0.9242563223369366,0.9242563223369366,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
14,0.9472590812900554,0.9472590812900554,0.9303904416005295,0.9303904416005295,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
15,0.9472590812900554,0.9461224338504826,0.9303904416005295,0.9339122450811511,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
16,0.9491013574050914,0.9491013574050914,0.9336764900101002,0.9336764900101002,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
17,0.9511061490386145,0.9511061490386145,0.9367610303334012,0.9367610303334012,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
18,0.9511061490386145,0.9506074402946332,0.9367610303334012,0.9377458625179387,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
19,0.9511061490386145,0.9493699541989713,0.9367610303334012,0.9366178648621631,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
20,0.9511061490386145,0.95008155887468,0.9367610303334012,0.9369849982981797,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
21,0.9524548698395043,0.9524548698395043,0.9420765397949868,0.9420765397949868,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
22,0.957379663384338,0.957379663384338,0.9443660695770841,0.9443660695770841,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
23,0.9585494334640079,0.9585494334640079,0.9461307259409042,0.9461307259409042,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
24,0.958605092571391,0.958605092571391,0.9456243496600194,0.9456243496600194,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
