k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.540448294794083,0.540448294794083,0.5379572794540893,0.5379572794540893,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6378183430172182,0.6378183430172182,0.6170800469972568,0.6170800469972568,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.6646706975362849,0.6646706975362849,0.6513853594688689,0.6513853594688689,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.6876952357309689,0.6876952357309689,0.6696639381691345,0.6696639381691345,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7050340324715241,0.7050340324715241,0.689869900486906,0.689869900486906,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7156641149403264,0.7156641149403264,0.6957484838694499,0.6957484838694499,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7361495636419986,0.7361495636419986,0.7258147945030745,0.7258147945030745,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8003061483553046,0.8003061483553046,0.7916303954624212,0.7916303954624212,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.814183593902105,0.814183593902105,0.7856154601873473,0.7856154601873473,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.820490105302448,0.820490105302448,0.7975500827669186,0.7975500827669186,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.839756161851508,0.839756161851508,0.8215338700056577,0.8215338700056577,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8413926442451273,0.8413926442451273,0.8189561185963573,0.8189561185963573,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8527573092082806,0.8527573092082806,0.8270238009143298,0.8270238009143298,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8566121090955003,0.8566121090955003,0.8293623379309353,0.8293623379309353,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.8726598320468412,0.8726598320468412,0.8462768979354435,0.8462768979354435,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.8746093420192658,0.8746093420192658,0.8585423253492077,0.8585423253492077,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.8755442965623962,0.8755442965623962,0.858653415228841,0.858653415228841,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.8781492015483074,0.8781492015483074,0.8544475792345091,0.8544475792345091,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.8781492015483074,0.8775581393357308,0.8544475792345091,0.8569275523793582,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
21,0.8824641034374201,0.8824641034374201,0.8596680458025014,0.8596680458025014,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
22,0.8824641034374201,0.8780903734532668,0.8596680458025014,0.8601428002374014,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
23,0.8824641034374201,0.8788847681575613,0.8596680458025014,0.8596149362036607,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
24,0.8824641034374201,0.8788847681575613,0.8596680458025014,0.8602709665133252,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
25,0.8833973149080114,0.8833973149080114,0.8651926302306036,0.8651926302306036,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
26,0.8855088851230299,0.8855088851230299,0.8664922616959444,0.8664922616959444,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
27,0.8861417221822746,0.8861417221822746,0.8677115537667206,0.8677115537667206,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
28,0.8910261760642483,0.8910261760642483,0.873763203517935,0.873763203517935,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
29,0.8910261760642483,0.8904881959809174,0.873763203517935,0.8787443122183201,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
30,0.8950101283435516,0.8950101283435516,0.8853364006989313,0.8853364006989313,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
31,0.8950101283435516,0.8947919897925204,0.8853364006989313,0.88391585851452,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
32,0.8950101283435516,0.8939855381796171,0.8853364006989313,0.8851689164793585,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
33,0.8978498893243025,0.8978498893243025,0.891241444754999,0.891241444754999,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
34,0.9059561063063335,0.9059561063063335,0.8983492771230016,0.8983492771230016,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
35,0.9092870304799721,0.9092870304799721,0.8981903568332557,0.8981903568332557,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
