k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.24202127659574468,0.24202127659574468,0.23884729883547848,0.23884729883547848,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.5486465333261665,0.5486465333261665,0.5338970992854588,0.5338970992854588,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6740365221886611,0.6740365221886611,0.6475707174093994,0.6475707174093994,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.7350314657522399,0.7350314657522399,0.7140514411757477,0.7140514411757477,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.76645075210882,0.76645075210882,0.7549242109298222,0.7549242109298222,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7924220060294438,0.7924220060294438,0.76710521205015,0.76710521205015,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7980956102903924,0.7980956102903924,0.7757037348626903,0.7757037348626903,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.8448815584969583,0.8448815584969583,0.825305036362065,0.825305036362065,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8689775887285772,0.8689775887285772,0.8488032792975494,0.8488032792975494,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8689775887285772,0.8663154791504271,0.8488032792975494,0.8558523590953826,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
