k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.3705830589519686,0.3705830589519686,0.3610859414918076,0.3610859414918076,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.46909496116087285,0.46909496116087285,0.4542276084079118,0.4542276084079118,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.6513066741563708,0.6513066741563708,0.6300460175470399,0.6300460175470399,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.7344625519957596,0.7344625519957596,0.7224045609021782,0.7224045609021782,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.76645075210882,0.76645075210882,0.7549242109298222,0.7549242109298222,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.7924220060294438,0.7924220060294438,0.76710521205015,0.76710521205015,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.806326322290035,0.806326322290035,0.7819172472008398,0.7819172472008398,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.8155959341328016,0.8155959341328016,0.7960264970859399,0.7960264970859399,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.8264727293916995,0.8264727293916995,0.8003782693622966,0.8003782693622966,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8264727293916995,0.8258094153657987,0.8003782693622966,0.8070764972827802,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.850080750769556,0.850080750769556,0.8358831153459602,0.8358831153459602,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8842412431424479,0.8842412431424479,0.8714171081152186,0.8714171081152186,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.8905415182752991,0.8905415182752991,0.8892627669731189,0.8892627669731189,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.9019214235211761,0.9019214235211761,0.8962230213168227,0.8962230213168227,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.9031721348260916,0.9031721348260916,0.9017011114581617,0.9017011114581617,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
16,0.9078778941918011,0.9078778941918011,0.9067508068861851,0.9067508068861851,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
17,0.9134447690119699,0.9134447690119699,0.9112055963892123,0.9112055963892123,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
18,0.9233931203917728,0.9233931203917728,0.9160749836694467,0.9160749836694467,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
19,0.9244601609214333,0.9244601609214333,0.9194358149814873,0.9194358149814873,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
20,0.9259124395226731,0.9259124395226731,0.9179173177508617,0.9179173177508617,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
21,0.931854689718217,0.931854689718217,0.9201132987748181,0.9201132987748181,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
22,0.9344817709270331,0.9344817709270331,0.9218512253047582,0.9218512253047582,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
