k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.4489319576432097,0.4489319576432097,0.46645329580031414,0.46645329580031414,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
2,0.6509363415662579,0.6509363415662579,0.638217867477887,0.638217867477887,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
3,0.8312964400224632,0.8312964400224632,0.8151127012099545,0.8151127012099545,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
4,0.8710921606020564,0.8710921606020564,0.8477910667736808,0.8477910667736808,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
5,0.9138531044948434,0.9138531044948434,0.8939499285897675,0.8939499285897675,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
6,0.9168656625555285,0.9168656625555285,0.9089001169471613,0.9089001169471613,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
7,0.9314875862597252,0.9314875862597252,0.9217080906295133,0.9217080906295133,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
8,0.9365176428683303,0.9365176428683303,0.9313972677174513,0.9313972677174513,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
9,0.9422904327249814,0.9422904327249814,0.9334810718553849,0.9334810718553849,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
10,0.9449914778736395,0.9449914778736395,0.939821502394537,0.939821502394537,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
11,0.9476044759768998,0.9476044759768998,0.9431120006320663,0.9431120006320663,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
12,0.9515260740307556,0.9515260740307556,0.9475769229611835,0.9475769229611835,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
13,0.9515260740307556,0.950138123645285,0.9475769229611835,0.9473711251702333,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
14,0.9515260740307556,0.9460946312425706,0.9475769229611835,0.9461665887928326,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
15,0.9515260740307556,0.947250495274481,0.9475769229611835,0.9474482631837167,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
16,0.9559117774139789,0.9559117774139789,0.9510879907180129,0.9510879907180129,rf,L16_WD01_asinh_R18_128,true_false,asinh,cs,unigram,mean,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_beststrue_false.csv,interpretability_then_feature_importance
