individual,acc,bacc,macro_f1,auroc,ece
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1001,0.5422694205201104,0.5952071131947368,0.5158326787778375,0.8035580579318411,0.36576055102182126
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1002,0.614516263901664,0.600095360154367,0.5125304258325054,0.7755187746131745,0.41444791002099746
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1003,0.6324943557153608,0.6459188551368149,0.5976438772927266,0.8772019960390256,0.3312455249436135
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1004,0.5482063717702149,0.5277782646904607,0.458148280756832,0.7926991728740843,0.30179810929325745
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1101,0.650806923655824,0.6243827692020005,0.5719772554137087,0.7680457478009116,0.43820384104595506
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1102,0.4948574295509658,0.4747863907677958,0.39576173548803545,0.8164908076784276,0.1596101972018681
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1103,0.6279789280040137,0.6122590686821491,0.5664538787610104,0.8226995295004041,0.4397740049032388
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1104,0.6450372104691028,0.664258396983431,0.6320631191302983,0.9082728036825642,0.5037909577712176
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1201,0.4589848649552638,0.4948305880603978,0.37141864787629775,0.7614932138339793,0.28816706615987714
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1202,0.6034785517183711,0.6002285296273074,0.5345926545825789,0.8150598794909754,0.2758127898337057
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1203,0.43582239317668703,0.48093072993395114,0.37405408055793415,0.7559796759632516,0.20287064448110737
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1204,0.46115895977924576,0.461555669983928,0.3370366626561428,0.8087278842473179,0.14474032944126866
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1301,0.6020570281796137,0.6400013944584508,0.568732262579468,0.8357861204433875,0.44743780929177707
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1302,0.6216238815954511,0.6130625889566418,0.540976387202149,0.8479807147447516,0.28128682566225915
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1303,0.6928672965967054,0.6372157810790218,0.5897177686761763,0.8501529389364011,0.36131981041017097
BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1304,0.6347520695710344,0.6244599698603578,0.5684168231373878,0.8300142985965145,0.3126550125614637
