class,method,sensitivity,specificity
Class 0,MAGE end-to-end,58.108108108108105,95.31119340580577
Class 0,Best per dim RF,78.764,98.262
Class 0,Best per dim SVC,81.95,96.356
Class 0,Best per dim LR,76.544,97.085
Class 0,Runs per dim RF,87.645,99.05000000000001
Class 0,Runs per dim SVC,89.479,98.274
Class 0,Runs per dim LR,88.9,98.381
Class 0,All per dim RF,82.819,99.40299999999999
Class 0,All per dim SVC,86.969,98.644
Class 0,All per dim LR,88.224,98.626
Class 0,resnet18,95.17374517374517,99.14586070959264
Class 0,resnet34,92.66409266409266,99.75510691673635
Class 0,resnext50,92.95366795366795,99.36088878270219
Class 1,MAGE end-to-end,72.06632653061224,95.50429563375309
Class 1,Best per dim RF,72.959,99.253
Class 1,Best per dim SVC,74.235,98.87
Class 1,Best per dim LR,67.219,98.288
Class 1,Runs per dim RF,91.327,99.59400000000001
Class 1,Runs per dim SVC,90.434,99.7
Class 1,Runs per dim LR,91.964,99.335
Class 1,All per dim RF,91.709,99.694
Class 1,All per dim SVC,91.837,99.871
Class 1,All per dim LR,91.582,99.67
Class 1,resnet18,88.64795918367348,100.0
Class 1,resnet34,94.51530612244898,99.87054254442744
Class 1,resnext50,90.81632653061224,100.0
Class 2,MAGE end-to-end,0.0,100.0
Class 2,Best per dim RF,76.797,99.28200000000001
Class 2,Best per dim SVC,77.932,98.99900000000001
Class 2,Best per dim LR,70.113,98.416
Class 2,Runs per dim RF,91.67699999999999,99.812
Class 2,Runs per dim SVC,90.29,99.729
Class 2,Runs per dim LR,89.786,99.535
Class 2,All per dim RF,93.821,99.759
Class 2,All per dim SVC,90.668,99.823
Class 2,All per dim LR,92.43400000000001,99.664
Class 2,resnet18,96.84741488020177,99.7527229908743
Class 2,resnet34,94.57755359394704,99.78216073005594
Class 2,resnext50,95.33417402269862,99.8881365911098
Class 3,MAGE end-to-end,59.617834394904456,94.2741128700053
Class 3,Best per dim RF,69.809,99.729
Class 3,Best per dim SVC,68.025,99.6
Class 3,Best per dim LR,64.586,99.359
Class 3,Runs per dim RF,77.452,99.82900000000001
Class 3,Runs per dim SVC,77.70700000000001,99.965
Class 3,Runs per dim LR,77.07000000000001,99.835
Class 3,All per dim RF,77.834,99.888
Class 3,All per dim SVC,82.42,99.965
Class 3,All per dim LR,81.146,99.923
Class 3,resnet18,98.47133757961784,100.0
Class 3,resnet34,96.81528662420382,99.97646089566292
Class 3,resnext50,98.47133757961784,100.0
Class 4,MAGE end-to-end,5.717054263565891,95.95265368461244
Class 4,Best per dim RF,67.539,97.264
Class 4,Best per dim SVC,66.279,97.48
Class 4,Best per dim LR,64.196,96.97099999999999
Class 4,Runs per dim RF,75.0,98.37700000000001
Class 4,Runs per dim SVC,76.357,98.295
Class 4,Runs per dim LR,73.74000000000001,98.03399999999999
Class 4,All per dim RF,76.211,98.212
Class 4,All per dim SVC,78.731,98.36500000000001
Class 4,All per dim LR,75.921,98.295
Class 4,resnet18,83.52713178294574,99.47180857833779
Class 4,resnet34,86.96705426356588,99.1472572228586
Class 4,resnext50,83.96317829457365,99.23634975181366
Class 5,MAGE end-to-end,31.653944020356235,92.25953329538987
Class 5,Best per dim RF,77.252,97.148
Class 5,Best per dim SVC,73.13,97.407
Class 5,Best per dim LR,67.176,97.161
Class 5,Runs per dim RF,83.817,98.084
Class 5,Runs per dim SVC,82.443,98.21
Class 5,Runs per dim LR,79.746,98.04
Class 5,All per dim RF,85.547,98.33
Class 5,All per dim SVC,83.96900000000001,98.583
Class 5,All per dim LR,82.595,98.64699999999999
Class 5,resnet18,93.53689567430025,99.23480680452792
Class 5,resnet34,93.63867684478372,99.39922848289382
Class 5,resnext50,94.50381679389312,99.45614367925126
Class 6,MAGE end-to-end,50.38051750380518,93.23811495204582
Class 6,Best per dim RF,93.059,99.22
Class 6,Best per dim SVC,89.011,99.54499999999999
Class 6,Best per dim LR,91.172,99.18599999999999
Class 6,Runs per dim RF,98.32600000000001,99.66199999999999
Class 6,Runs per dim SVC,99.3,99.772
Class 6,Runs per dim LR,98.752,99.669
Class 6,All per dim RF,99.178,99.66199999999999
Class 6,All per dim SVC,99.63499999999999,99.8
Class 6,All per dim LR,99.574,99.73100000000001
Class 6,resnet18,99.42161339421614,99.99310011729801
Class 6,resnet34,99.17808219178083,99.95170082108604
Class 6,resnext50,99.81735159817352,99.91030152487409
Class 7,MAGE end-to-end,40.870062965083,95.55236728837878
Class 7,Best per dim RF,98.512,98.86500000000001
Class 7,Best per dim SVC,97.08099999999999,99.195
Class 7,Best per dim LR,97.138,98.977
Class 7,Runs per dim RF,98.68299999999999,99.064
Class 7,Runs per dim SVC,99.714,99.863
Class 7,Runs per dim LR,98.798,99.507
Class 7,All per dim RF,99.599,99.208
Class 7,All per dim SVC,99.657,99.913
Class 7,All per dim LR,99.886,99.495
Class 7,resnet18,100.0,99.85652797704448
Class 7,resnet34,100.0,99.85652797704448
Class 7,resnext50,100.0,99.9875241719169
Class 8,MAGE end-to-end,76.00661886376172,93.21641089884122
Class 8,Best per dim RF,96.525,99.831
Class 8,Best per dim SVC,97.739,99.862
Class 8,Best per dim LR,96.304,99.649
Class 8,Runs per dim RF,98.125,99.787
Class 8,Runs per dim SVC,98.4,99.994
Class 8,Runs per dim LR,98.014,99.85000000000001
Class 8,All per dim RF,98.952,99.894
Class 8,All per dim SVC,98.897,100.0
Class 8,All per dim LR,99.33800000000001,99.956
Class 8,resnet18,99.88968560397133,99.89978077043533
Class 8,resnet34,99.72421400992829,99.83088005010961
Class 8,resnext50,99.61389961389962,99.95615408706546
Class 9,MAGE end-to-end,69.91368680641183,79.1780143599901
Class 9,Best per dim RF,86.80600000000001,98.898
Class 9,Best per dim SVC,83.354,98.836
Class 9,Best per dim LR,86.128,98.576
Class 9,Runs per dim RF,92.972,99.208
Class 9,Runs per dim SVC,92.47800000000001,99.56099999999999
Class 9,Runs per dim LR,92.293,99.35000000000001
Class 9,All per dim RF,93.342,99.276
Class 9,All per dim SVC,92.72500000000001,99.412
Class 9,All per dim LR,95.746,99.177
Class 9,resnet18,99.75339087546239,99.6100519930676
Class 9,resnet34,99.44512946979039,99.77098291656351
Class 9,resnext50,99.38347718865597,99.45531072047537
Class 10,MAGE end-to-end,0.0,100.0
Class 10,Best per dim RF,85.085,94.872
Class 10,Best per dim SVC,80.202,94.438
Class 10,Best per dim LR,78.609,95.06700000000001
Class 10,Runs per dim RF,89.64999999999999,96.942
Class 10,Runs per dim SVC,94.268,96.942
Class 10,Runs per dim LR,89.64999999999999,97.288
Class 10,All per dim RF,92.41,96.993
Class 10,All per dim SVC,95.11699999999999,96.798
Class 10,All per dim LR,94.214,97.842
Class 10,resnet18,98.61995753715499,98.72908015603372
Class 10,resnet34,99.68152866242038,98.7353718384296
Class 10,resnext50,99.25690021231422,98.56549641374104
