class,method,sensitivity,specificity
Class 0,MAGE end-to-end,22.22222222222222,88.88738494856524
Class 0,Best per dim RF,84.05799999999999,96.41300000000001
Class 0,Best per dim SVC,82.246,97.13000000000001
Class 0,Best per dim LR,79.71000000000001,97.158
Class 0,Runs per dim RF,85.386,97.577
Class 0,Runs per dim SVC,87.198,97.97
Class 0,Runs per dim LR,86.35300000000001,98.538
Class 0,All per dim RF,85.749,97.821
Class 0,All per dim SVC,89.493,98.227
Class 0,All per dim LR,90.338,98.592
Class 0,resnet18,89.73429951690821,98.78180833784515
Class 0,resnet34,92.7536231884058,99.12019491066594
Class 0,resnext50,92.512077294686,99.4044396318354
Class 1,MAGE end-to-end,27.610208816705335,91.90751445086705
Class 1,Best per dim RF,70.76599999999999,98.48400000000001
Class 1,Best per dim SVC,75.40599999999999,98.304
Class 1,Best per dim LR,64.037,98.42
Class 1,Runs per dim RF,78.654,99.21600000000001
Class 1,Runs per dim SVC,82.135,99.319
Class 1,Runs per dim LR,82.135,98.882
Class 1,All per dim RF,84.919,99.191
Class 1,All per dim SVC,88.399,99.461
Class 1,All per dim LR,85.615,99.178
Class 1,resnet18,88.39907192575406,99.55041746949261
Class 1,resnet34,90.95127610208816,99.56326268464997
Class 1,resnext50,93.7354988399072,99.55041746949261
Class 2,MAGE end-to-end,69.12114014251782,89.15971776779988
Class 2,Best per dim RF,69.121,98.19099999999999
Class 2,Best per dim SVC,70.54599999999999,98.49900000000001
Class 2,Best per dim LR,67.458,97.75500000000001
Class 2,Runs per dim RF,87.411,98.52499999999999
Class 2,Runs per dim SVC,86.936,99.22999999999999
Class 2,Runs per dim LR,87.173,98.768
Class 2,All per dim RF,86.698,99.205
Class 2,All per dim SVC,91.686,99.48700000000001
Class 2,All per dim LR,89.074,99.064
Class 2,resnet18,90.02375296912113,99.66645285439384
Class 2,resnet34,96.91211401425178,99.32007697241822
Class 2,resnext50,95.01187648456056,99.55099422706863
Class 3,MAGE end-to-end,64.8456057007126,92.46953175112252
Class 3,Best per dim RF,77.91,99.256
Class 3,Best per dim SVC,75.059,99.47399999999999
Class 3,Best per dim LR,82.185,99.102
Class 3,Runs per dim RF,85.036,99.73100000000001
Class 3,Runs per dim SVC,81.235,99.96199999999999
Class 3,Runs per dim LR,86.461,99.846
Class 3,All per dim RF,85.98599999999999,99.833
Class 3,All per dim SVC,85.51100000000001,99.96199999999999
Class 3,All per dim LR,89.31099999999999,99.80799999999999
Class 3,resnet18,95.96199524940617,99.9230275817832
Class 3,resnet34,93.34916864608076,100.0
Class 3,resnext50,96.43705463182897,99.88454137267479
Class 4,MAGE end-to-end,0.0,100.0
Class 4,Best per dim RF,64.649,97.97
Class 4,Best per dim SVC,68.77600000000001,97.089
Class 4,Best per dim LR,66.16199999999999,97.369
Class 4,Runs per dim RF,72.902,98.291
Class 4,Runs per dim SVC,77.717,97.503
Class 4,Runs per dim LR,73.72800000000001,97.677
Class 4,All per dim RF,76.479,98.024
Class 4,All per dim SVC,82.256,97.997
Class 4,All per dim LR,81.155,98.304
Class 4,resnet18,82.53094910591471,99.07864868473762
Class 4,resnet34,84.59422283356258,99.01188409667513
Class 4,resnext50,82.9436038514443,99.02523701428763
Class 5,MAGE end-to-end,53.46938775510204,93.98476139553536
Class 5,Best per dim RF,61.769,98.329
Class 5,Best per dim SVC,59.864,98.409
Class 5,Best per dim LR,62.041000000000004,97.875
Class 5,Runs per dim RF,66.53099999999999,98.904
Class 5,Runs per dim SVC,70.748,98.74300000000001
Class 5,Runs per dim LR,70.612,98.129
Class 5,All per dim RF,70.068,98.931
Class 5,All per dim SVC,74.422,99.104
Class 5,All per dim LR,74.15,99.024
Class 5,resnet18,85.4421768707483,99.23806977676782
Class 5,resnet34,82.0408163265306,99.50541371474402
Class 5,resnext50,86.53061224489797,99.07766341398208
Class 6,MAGE end-to-end,0.0,100.0
Class 6,Best per dim RF,94.986,99.06
Class 6,Best per dim SVC,93.624,98.856
Class 6,Best per dim LR,94.114,99.42
Class 6,Runs per dim RF,97.003,99.42
Class 6,Runs per dim SVC,97.875,99.514
Class 6,Runs per dim LR,97.112,99.655
Class 6,All per dim RF,97.711,99.373
Class 6,All per dim SVC,98.583,99.38900000000001
Class 6,All per dim LR,98.202,99.765
Class 6,resnet18,99.72752043596729,99.82761322676697
Class 6,resnet34,99.83651226158038,99.68656950321267
Class 6,resnext50,99.83651226158038,99.73358407773077
Class 7,MAGE end-to-end,78.87067395264117,88.32659449589148
Class 7,Best per dim RF,94.536,99.81700000000001
Class 7,Best per dim SVC,93.625,99.909
Class 7,Best per dim LR,94.353,99.713
Class 7,Runs per dim RF,97.45,99.922
Class 7,Runs per dim SVC,96.90299999999999,99.961
Class 7,Runs per dim LR,97.81400000000001,99.909
Class 7,All per dim RF,96.90299999999999,99.94800000000001
Class 7,All per dim SVC,96.90299999999999,99.97399999999999
Class 7,All per dim LR,97.086,99.87
Class 7,resnet18,98.1785063752277,99.97391417764445
Class 7,resnet34,96.90346083788707,99.98695708882222
Class 7,resnext50,97.81420765027322,100.0
Class 8,MAGE end-to-end,0.0,100.0
Class 8,Best per dim RF,98.205,99.765
Class 8,Best per dim SVC,97.666,99.856
Class 8,Best per dim LR,97.307,99.62100000000001
Class 8,Runs per dim RF,98.74300000000001,99.726
Class 8,Runs per dim SVC,98.384,99.882
Class 8,Runs per dim LR,98.564,99.882
Class 8,All per dim RF,98.74300000000001,99.64699999999999
Class 8,All per dim SVC,98.205,99.94800000000001
Class 8,All per dim LR,98.384,99.81700000000001
Class 8,resnet18,98.92280071813285,99.89554772163468
Class 8,resnet34,98.02513464991023,99.97388693040867
Class 8,resnext50,98.74326750448833,99.93471732602167
Class 9,MAGE end-to-end,52.13333333333333,92.23144923653898
Class 9,Best per dim RF,91.2,97.361
Class 9,Best per dim SVC,89.86699999999999,97.30799999999999
Class 9,Best per dim LR,90.8,96.504
Class 9,Runs per dim RF,94.267,98.178
Class 9,Runs per dim SVC,95.06700000000001,98.379
Class 9,Runs per dim LR,94.533,98.661
Class 9,All per dim RF,92.267,98.48599999999999
Class 9,All per dim SVC,95.467,98.634
Class 9,All per dim LR,94.667,98.741
Class 9,resnet18,98.13333333333333,98.79453522635949
Class 9,resnet34,97.6,99.02223412804715
Class 9,resnext50,98.93333333333332,99.10259844628985
Class 10,MAGE end-to-end,43.24324324324324,87.48276812792942
Class 10,Best per dim RF,79.106,96.27799999999999
Class 10,Best per dim SVC,78.898,95.63000000000001
Class 10,Best per dim LR,74.116,96.56700000000001
Class 10,Runs per dim RF,88.877,97.077
Class 10,Runs per dim SVC,91.164,97.65599999999999
Class 10,Runs per dim LR,89.917,97.739
Class 10,All per dim RF,92.931,97.65599999999999
Class 10,All per dim SVC,93.659,98.373
Class 10,All per dim LR,95.634,98.47
Class 10,resnet18,98.44074844074844,98.84201819685691
Class 10,resnet34,99.06444906444906,98.85580369451337
Class 10,resnext50,96.15384615384616,99.1590846429556
