k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.4186972354334525,0.4186972354334525,0.3709657608596765,0.3709657608596765,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.5252074467340053,0.5252074467340053,0.45277950315097487,0.45277950315097487,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.5653476179064907,0.5653476179064907,0.48859045747947666,0.48859045747947666,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.5658415439580513,0.5658415439580513,0.49077437069183616,0.49077437069183616,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6373671647050683,0.6373671647050683,0.5384592876550697,0.5384592876550697,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.6708660858015378,0.6708660858015378,0.5888465960886443,0.5888465960886443,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.6774462490166078,0.6774462490166078,0.5962759514847419,0.5962759514847419,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7328689058908051,0.7328689058908051,0.6421576571983179,0.6421576571983179,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7644915211159751,0.7644915211159751,0.6627165738474117,0.6627165738474117,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.7886968634885861,0.7886968634885861,0.67699791391295,0.67699791391295,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8043879050878444,0.8043879050878444,0.692446915695841,0.692446915695841,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
