k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.3222742485911765,0.3222742485911765,0.2888411507191127,0.2888411507191127,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.3222742485911765,0.31476193505474215,0.2888411507191127,0.2827774879024514,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.4396771980150421,0.4396771980150421,0.4076643078058421,0.4076643078058421,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.6164175304887152,0.6164175304887152,0.570067440879282,0.570067440879282,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.690317523314008,0.690317523314008,0.6140079853905908,0.6140079853905908,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.7258818754934602,0.7258818754934602,0.6243780207455262,0.6243780207455262,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7305714762669532,0.7305714762669532,0.642713959042846,0.642713959042846,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7478352308583534,0.7478352308583534,0.6584933966533256,0.6584933966533256,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7599336460278504,0.7599336460278504,0.662625812939936,0.662625812939936,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
