k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.21371147864716597,0.20528215883277673,0.20892188958124477,0.20080504633384924,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.37277655843609164,0.37277655843609164,0.32427193379068014,0.32427193379068014,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.5267374042217744,0.5267374042217744,0.4657945932971873,0.4657945932971873,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.5677371996680598,0.5677371996680598,0.5124409804299918,0.5124409804299918,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6214139034901639,0.6214139034901639,0.5862610271517028,0.5862610271517028,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.6523048947395966,0.6523048947395966,0.615800003271027,0.615800003271027,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.6999861252905164,0.6999861252905164,0.6460090714529081,0.6460090714529081,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.745932454010469,0.745932454010469,0.6747388725179962,0.6747388725179962,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7533637327289598,0.7533637327289598,0.6771261636987644,0.6771261636987644,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
