k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.3222742485911765,0.3222742485911765,0.2888411507191127,0.2888411507191127,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.4239146900771271,0.4239146900771271,0.3866962268396906,0.3866962268396906,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.4260183311050712,0.4260183311050712,0.387192205349162,0.387192205349162,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.5552394282274008,0.5552394282274008,0.49858120808738543,0.49858120808738543,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.6381508415371355,0.6381508415371355,0.5874780079400267,0.5874780079400267,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.6862789371246096,0.6862789371246096,0.6123849197827054,0.6123849197827054,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7097107732182494,0.7097107732182494,0.6214631640055075,0.6214631640055075,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7714040579786565,0.7714040579786565,0.6451624034285224,0.6451624034285224,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.8096856094456294,0.8096856094456294,0.668610477879102,0.668610477879102,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.8552815045663473,0.8552815045663473,0.7214387002255039,0.7214387002255039,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.8618100993884691,0.8618100993884691,0.7230541953848839,0.7230541953848839,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
