k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.31864911639901383,0.31864911639901383,0.2869556781938846,0.2869556781938846,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
2,0.625348666463537,0.625348666463537,0.4938293028179798,0.4938293028179798,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
3,0.7217892357412072,0.7217892357412072,0.5746755585808966,0.5746755585808966,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
4,0.7644987454718039,0.7644987454718039,0.5930404125552434,0.5930404125552434,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
5,0.7858368710100523,0.7858368710100523,0.622509272255229,0.622509272255229,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
6,0.7950846666718177,0.7950846666718177,0.6487339264801958,0.6487339264801958,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
7,0.8112245088981788,0.8112245088981788,0.6648626542071423,0.6648626542071423,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
8,0.8435512776914907,0.8435512776914907,0.6960599620704676,0.6960599620704676,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
9,0.8602717584311284,0.8602717584311284,0.7127728686951981,0.7127728686951981,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
10,0.8602717584311284,0.8580712965052689,0.7127728686951981,0.7146309053459892,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
11,0.865597478878909,0.865597478878909,0.7183038580898133,0.7183038580898133,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
12,0.8869980521748079,0.8869980521748079,0.7469400580847513,0.7469400580847513,lr,L16_WD01_asinh_R18_128,false_false,asinh,,,mean,,feature_importance_only
