k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.21371147864716597,0.20528215883277673,0.20892188958124477,0.20080504633384924,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.3436914195472054,0.3436914195472054,0.31399221064137794,0.31399221064137794,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.44114589941526894,0.44114589941526894,0.4111209374645129,0.4111209374645129,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.530514299785634,0.530514299785634,0.4838072123963995,0.4838072123963995,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.591598762937366,0.591598762937366,0.5428095151303405,0.5428095151303405,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.640126313713455,0.640126313713455,0.5730539147512457,0.5730539147512457,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.7044538309358894,0.7044538309358894,0.6187159146158191,0.6187159146158191,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7317172001762784,0.7317172001762784,0.6473427810550108,0.6473427810550108,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.7437116489756108,0.7437116489756108,0.6738504929411843,0.6738504929411843,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
11,0.7738111439836968,0.7738111439836968,0.679163520998796,0.679163520998796,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
12,0.7792199361519739,0.7792199361519739,0.6801443001027522,0.6801443001027522,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
13,0.7969471583859267,0.7969471583859267,0.6918667992278924,0.6918667992278924,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
14,0.8086995742704244,0.8086995742704244,0.7010156301346648,0.7010156301346648,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
15,0.8132832223965323,0.8132832223965323,0.7126673383715185,0.7126673383715185,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
