k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
1,0.21371147864716597,0.21371147864716597,0.20892188958124477,0.20892188958124477,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
2,0.3222742485911765,0.3222742485911765,0.2888411507191127,0.2888411507191127,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
3,0.4239146900771271,0.4239146900771271,0.3866962268396906,0.3866962268396906,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
4,0.4699807745329058,0.4699807745329058,0.42277854615784494,0.42277854615784494,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
5,0.5343269208870947,0.5343269208870947,0.4866461923106236,0.4866461923106236,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
6,0.5343269208870947,0.5339750872460206,0.4866461923106236,0.4856370379255082,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
7,0.6564256402005583,0.6564256402005583,0.559319651197405,0.559319651197405,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
8,0.6885781975267368,0.6885781975267368,0.6046580697384247,0.6046580697384247,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
9,0.7424048731841374,0.7424048731841374,0.6295973705416498,0.6295973705416498,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
10,0.76712902797924,0.76712902797924,0.6650335458320376,0.6650335458320376,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,unigram,min,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
