class,method,sensitivity,specificity
Class 0,MAGE end-to-end,95.06726457399103,97.51797329681617
Class 0,Best per dim RF,98.356,99.572
Class 0,Best per dim SVC,97.235,99.53800000000001
Class 0,Best per dim LR,97.982,99.641
Class 0,Runs per dim RF,91.704,99.795
Class 0,Runs per dim SVC,92.526,99.795
Class 0,Runs per dim LR,94.021,99.726
Class 0,All per dim RF,89.761,99.812
Class 0,All per dim SVC,94.46900000000001,99.863
Class 0,All per dim LR,95.815,99.69200000000001
Class 0,resnet18,96.63677130044843,99.9486477233824
Class 0,resnet34,97.83258594917787,99.62341663813763
Class 0,resnext50,95.14200298953662,99.12701129750086
Class 1,MAGE end-to-end,99.88193624557262,99.17890415285015
Class 1,Best per dim RF,100.0,99.589
Class 1,Best per dim SVC,100.0,98.705
Class 1,Best per dim LR,100.0,99.479
Class 1,Runs per dim RF,100.0,99.82600000000001
Class 1,Runs per dim SVC,100.0,99.984
Class 1,Runs per dim LR,100.0,99.46300000000001
Class 1,All per dim RF,100.0,99.921
Class 1,All per dim SVC,100.0,100.0
Class 1,All per dim LR,100.0,99.82600000000001
Class 1,resnet18,100.0,100.0
Class 1,resnet34,97.75678866587958,100.0
Class 1,resnext50,95.27744982290437,100.0
Class 2,MAGE end-to-end,41.00294985250738,90.38152316912732
Class 2,Best per dim RF,89.381,98.1
Class 2,Best per dim SVC,80.826,98.319
Class 2,Best per dim LR,79.351,97.11999999999999
Class 2,Runs per dim RF,92.625,98.714
Class 2,Runs per dim SVC,90.85499999999999,98.816
Class 2,Runs per dim LR,91.14999999999999,98.553
Class 2,All per dim RF,92.92,98.714
Class 2,All per dim SVC,90.265,98.962
Class 2,All per dim LR,88.201,98.772
Class 2,resnet18,98.23008849557522,99.26911270282123
Class 2,resnet34,99.41002949852508,98.58207864347318
Class 2,resnext50,98.52507374631269,99.72226282707206
Class 3,MAGE end-to-end,87.38170347003155,99.11396272532843
Class 3,Best per dim RF,95.268,99.542
Class 3,Best per dim SVC,93.218,99.618
Class 3,Best per dim LR,94.164,99.649
Class 3,Runs per dim RF,97.161,99.756
Class 3,Runs per dim SVC,96.21499999999999,99.71
Class 3,Runs per dim LR,97.476,99.74
Class 3,All per dim RF,97.634,99.71
Class 3,All per dim SVC,97.003,99.756
Class 3,All per dim LR,96.53,99.679
Class 3,resnet18,97.3186119873817,99.98472349526428
Class 3,resnet34,96.21451104100946,99.75557592422854
Class 3,resnext50,98.10725552050474,99.40421631530705
Class 4,MAGE end-to-end,21.642512077294686,94.64605370219691
Class 4,Best per dim RF,87.729,98.991
Class 4,Best per dim SVC,78.744,98.503
Class 4,Best per dim LR,79.903,98.779
Class 4,Runs per dim RF,90.725,99.544
Class 4,Runs per dim SVC,91.014,99.17
Class 4,Runs per dim LR,91.981,98.568
Class 4,All per dim RF,94.976,99.56099999999999
Class 4,All per dim SVC,97.101,99.56099999999999
Class 4,All per dim LR,94.879,98.356
Class 4,resnet18,98.74396135265701,99.13751017087063
Class 4,resnet34,95.26570048309179,99.51179820992677
Class 4,resnext50,96.90821256038647,98.95850284784377
Class 5,MAGE end-to-end,0.0,100.0
Class 5,Best per dim RF,69.08800000000001,98.528
Class 5,Best per dim SVC,58.108000000000004,98.664
Class 5,Best per dim LR,57.93899999999999,98.361
Class 5,Runs per dim RF,73.311,97.328
Class 5,Runs per dim SVC,75.33800000000001,98.087
Class 5,Runs per dim LR,67.399,98.179
Class 5,All per dim RF,69.932,96.979
Class 5,All per dim SVC,76.351,98.33
Class 5,All per dim LR,79.899,98.421
Class 5,resnet18,89.3581081081081,97.98117789921068
Class 5,resnet34,94.93243243243244,97.41955069823922
Class 5,resnext50,89.3581081081081,97.92046144505161
Class 6,MAGE end-to-end,38.05668016194332,92.71626028886473
Class 6,Best per dim RF,80.702,97.872
Class 6,Best per dim SVC,86.91,96.956
Class 6,Best per dim LR,82.99600000000001,97.298
Class 6,Runs per dim RF,88.79899999999999,98.711
Class 6,Runs per dim SVC,88.39399999999999,98.32300000000001
Class 6,Runs per dim LR,89.069,97.515
Class 6,All per dim RF,88.259,98.74199999999999
Class 6,All per dim SVC,87.449,98.92800000000001
Class 6,All per dim LR,93.117,98.74199999999999
Class 6,resnet18,98.11066126855602,99.53408914427706
Class 6,resnet34,97.57085020242914,99.36325516384532
Class 6,resnext50,99.46018893387314,98.74204068954808
Class 7,MAGE end-to-end,43.942992874109265,89.71741381861223
Class 7,Best per dim RF,62.708,96.331
Class 7,Best per dim SVC,63.658,94.837
Class 7,Best per dim LR,64.608,94.23
Class 7,Runs per dim RF,62.708,96.76
Class 7,Runs per dim SVC,69.121,96.997
Class 7,Runs per dim LR,66.74600000000001,97.5
Class 7,All per dim RF,64.846,96.923
Class 7,All per dim SVC,71.49600000000001,98.21
Class 7,All per dim LR,65.083,98.639
Class 7,resnet18,66.9833729216152,99.7780736795384
Class 7,resnet34,51.543942992874115,99.88163929575381
Class 7,resnext50,69.35866983372921,99.7780736795384
Class 8,MAGE end-to-end,65.61232765612328,92.21456196401547
Class 8,Best per dim RF,85.158,97.881
Class 8,Best per dim SVC,81.914,98.117
Class 8,Best per dim LR,79.07499999999999,98.268
Class 8,Runs per dim RF,91.727,98.033
Class 8,Runs per dim SVC,91.079,97.99900000000001
Class 8,Runs per dim LR,86.131,98.47
Class 8,All per dim RF,91.16,98.117
Class 8,All per dim SVC,93.998,97.29299999999999
Class 8,All per dim LR,92.052,98.756
Class 8,resnet18,97.97242497972425,99.3778375651589
Class 8,resnet34,95.86374695863748,99.29376156045065
Class 8,resnext50,94.3227899432279,99.76458718681688
