llm,audience,gram,seed,expected_units,scored_units,missing_units,coverage_pct,path
gemini,cs,bigram,1,1225,1225,0,100.0,gemini/cs_bigram_1.json
gemini,cs,bigram,2,1225,1224,1,99.92,gemini/cs_bigram_2.json
gemini,cs,bigram,3,1225,1225,0,100.0,gemini/cs_bigram_3.json
gemini,cs,unigram,1,302,302,0,100.0,gemini/cs_unigram_1.json
gemini,cs,unigram,2,302,302,0,100.0,gemini/cs_unigram_2.json
gemini,cs,unigram,3,302,302,0,100.0,gemini/cs_unigram_3.json
gemini,doctor,bigram,1,1225,1225,0,100.0,gemini/doctor_bigram_1.json
gemini,doctor,bigram,2,1225,1225,0,100.0,gemini/doctor_bigram_2.json
gemini,doctor,bigram,3,1225,1224,1,99.92,gemini/doctor_bigram_3.json
gemini,doctor,unigram,1,302,302,0,100.0,gemini/doctor_unigram_1.json
gemini,doctor,unigram,2,302,302,0,100.0,gemini/doctor_unigram_2.json
gemini,doctor,unigram,3,302,302,0,100.0,gemini/doctor_unigram_3.json
gemini,patient,bigram,1,1225,1225,0,100.0,gemini/patient_bigram_1.json
gemini,patient,bigram,2,1225,1225,0,100.0,gemini/patient_bigram_2.json
gemini,patient,bigram,3,1225,1225,0,100.0,gemini/patient_bigram_3.json
gemini,patient,unigram,1,302,302,0,100.0,gemini/patient_unigram_1.json
gemini,patient,unigram,2,302,302,0,100.0,gemini/patient_unigram_2.json
gemini,patient,unigram,3,302,302,0,100.0,gemini/patient_unigram_3.json
openai,cs,bigram,1,1225,1219,6,99.51,openai/cs_bigram_1.json
openai,cs,bigram,2,1225,1225,0,100.0,openai/cs_bigram_2.json
openai,cs,bigram,3,1225,1225,0,100.0,openai/cs_bigram_3.json
openai,cs,unigram,1,302,302,0,100.0,openai/cs_unigram_1.json
openai,cs,unigram,2,302,301,1,99.67,openai/cs_unigram_2.json
openai,cs,unigram,3,302,302,0,100.0,openai/cs_unigram_3.json
openai,doctor,bigram,1,1225,1224,1,99.92,openai/doctor_bigram_1.json
openai,doctor,bigram,2,1225,1225,0,100.0,openai/doctor_bigram_2.json
openai,doctor,bigram,3,1225,1224,1,99.92,openai/doctor_bigram_3.json
openai,doctor,unigram,1,302,302,0,100.0,openai/doctor_unigram_1.json
openai,doctor,unigram,2,302,302,0,100.0,openai/doctor_unigram_2.json
openai,doctor,unigram,3,302,302,0,100.0,openai/doctor_unigram_3.json
openai,patient,bigram,1,1225,1224,1,99.92,openai/patient_bigram_1.json
openai,patient,bigram,2,1225,1225,0,100.0,openai/patient_bigram_2.json
openai,patient,bigram,3,1225,1223,2,99.84,openai/patient_bigram_3.json
openai,patient,unigram,1,302,302,0,100.0,openai/patient_unigram_1.json
openai,patient,unigram,2,302,302,0,100.0,openai/patient_unigram_2.json
openai,patient,unigram,3,302,302,0,100.0,openai/patient_unigram_3.json
anthropic,cs,bigram,1,1225,1225,0,100.0,anthropic/cs_bigram_1.json
anthropic,cs,bigram,2,1225,1225,0,100.0,anthropic/cs_bigram_2.json
anthropic,cs,bigram,3,1225,1225,0,100.0,anthropic/cs_bigram_3.json
anthropic,cs,unigram,1,302,302,0,100.0,anthropic/cs_unigram_1.json
anthropic,cs,unigram,2,302,302,0,100.0,anthropic/cs_unigram_2.json
anthropic,cs,unigram,3,302,302,0,100.0,anthropic/cs_unigram_3.json
anthropic,doctor,bigram,1,1225,1225,0,100.0,anthropic/doctor_bigram_1.json
anthropic,doctor,bigram,2,1225,1225,0,100.0,anthropic/doctor_bigram_2.json
anthropic,doctor,bigram,3,1225,1224,1,99.92,anthropic/doctor_bigram_3.json
anthropic,doctor,unigram,1,302,302,0,100.0,anthropic/doctor_unigram_1.json
anthropic,doctor,unigram,2,302,302,0,100.0,anthropic/doctor_unigram_2.json
anthropic,doctor,unigram,3,302,302,0,100.0,anthropic/doctor_unigram_3.json
anthropic,patient,bigram,1,1225,1225,0,100.0,anthropic/patient_bigram_1.json
anthropic,patient,bigram,2,1225,1224,1,99.92,anthropic/patient_bigram_2.json
anthropic,patient,bigram,3,1225,1224,1,99.92,anthropic/patient_bigram_3.json
anthropic,patient,unigram,1,302,302,0,100.0,anthropic/patient_unigram_1.json
anthropic,patient,unigram,2,302,302,0,100.0,anthropic/patient_unigram_2.json
anthropic,patient,unigram,3,302,302,0,100.0,anthropic/patient_unigram_3.json
