llm,audience,gram,n_files,expected_units,covered_union_units,never_scored_units,missing_in_some_files_units,complete_in_all_files_units,group_union_coverage_pct
gemini,cs,bigram,3,1225,1225,0,1,1224,100.0
gemini,cs,unigram,3,302,302,0,0,302,100.0
gemini,doctor,bigram,3,1225,1225,0,1,1224,100.0
gemini,doctor,unigram,3,302,302,0,0,302,100.0
gemini,patient,bigram,3,1225,1225,0,0,1225,100.0
gemini,patient,unigram,3,302,302,0,0,302,100.0
openai,cs,bigram,3,1225,1225,0,6,1219,100.0
openai,cs,unigram,3,302,302,0,1,301,100.0
openai,doctor,bigram,3,1225,1225,0,1,1224,100.0
openai,doctor,unigram,3,302,302,0,0,302,100.0
openai,patient,bigram,3,1225,1225,0,2,1223,100.0
openai,patient,unigram,3,302,302,0,0,302,100.0
anthropic,cs,bigram,3,1225,1225,0,0,1225,100.0
anthropic,cs,unigram,3,302,302,0,0,302,100.0
anthropic,doctor,bigram,3,1225,1225,0,1,1224,100.0
anthropic,doctor,unigram,3,302,302,0,0,302,100.0
anthropic,patient,bigram,3,1225,1225,0,1,1224,100.0
anthropic,patient,unigram,3,302,302,0,0,302,100.0
