module_key,checkpoint_path,rf_importance,rf_importance_rank,mean_cs_unigram_avg_single,mean_doctor_unigram_avg_single,mean_patient_unigram_avg_single
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0821702694262638,1,8.70669934640523,6.0,4.372549019607843
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.07402847771130912,2,8.444444444444445,5.564102564102564,4.076923076923077
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0666817680931878,3,8.992063492063492,6.5,4.952380952380952
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.05221752180714048,4,8.98989898989899,6.666666666666668,4.797979797979798
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.05027401635009246,5,8.814814814814815,6.320987654320986,4.716049382716049
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.049121930753074014,6,8.586666666666668,5.595555555555555,4.173333333333333
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.04834968348114766,7,8.660493827160494,5.91358024691358,3.9444444444444446
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.03504044996252077,8,8.359477124183007,5.313725490196078,3.666666666666667
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.03404798695320786,9,8.797101449275363,6.048309178743962,4.676328502415459
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.03041160654309654,10,8.814814814814815,6.194444444444444,4.231481481481481
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.026854742350193618,11,8.75,6.097222222222221,3.8888888888888893
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.02546202254890964,12,8.373015873015872,5.92063492063492,4.396825396825397
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.022456747206136298,13,8.676767676767675,5.808080808080806,4.363636363636363
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.021448501476293666,14,8.425925925925924,5.583333333333333,3.962962962962962
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.021034467167730195,15,8.740740740740739,5.787037037037037,3.8518518518518516
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.02048729292029881,16,9.037037037037036,5.981481481481481,4.185185185185185
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.019224698175217315,17,8.249999999999998,5.648148148148149,4.064814814814814
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.01677534469714771,18,8.766666666666666,5.911111111111111,4.361111111111112
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.014655153619258813,19,8.965277777777777,6.104166666666666,4.631944444444444
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.014419863126523342,20,8.68888888888889,5.703703703703704,4.140740740740741
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.014234564524809297,21,9.094017094017095,6.811965811965812,5.068376068376068
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.013322781393844931,22,8.898989898989898,6.267676767676767,4.646464646464646
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.01303690555946515,23,8.674074074074074,6.022222222222222,4.288888888888889
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.012898449267163527,24,8.606837606837606,5.376068376068376,3.5897435897435908
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.011419509436044395,25,8.417989417989416,5.582010582010582,4.063492063492063
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.01111311111846114,26,8.935185185185185,6.5092592592592595,5.194444444444444
